# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000    4792997.50000000 1006.52947998
0.00100    4792467.50000000 1581.51428223
0.00200    4790899.50000000 2371.49536133
0.00300    4788223.50000000 3447.52099609
0.00400    4784536.00000000 4306.08251953
0.00500    4779764.00000000 5162.14550781
0.00600    4773978.50000000 5012.67724609
0.00700    4767128.00000000 5720.55371094
0.00800    4759250.00000000 7709.98535156
0.00900    4750329.00000000 9263.14160156
0.01000    4740335.00000000 9385.86425781
0.01100    4729341.50000000 9364.09667969
0.01200    4717344.50000000 13798.23242188
0.01300    4704352.00000000 14818.70898438
0.01400    4690338.50000000 13719.24023438
0.01500    4675361.50000000 15709.21484375
0.01600    4659355.00000000 13069.49121094
0.01700    4642431.50000000 13788.02246094
0.01800    4624508.00000000 15815.81835938
0.01900    4605648.50000000 13816.94628906
0.02000    4585895.50000000 26002.02929688
0.02100    4565180.00000000 21091.13281250
0.02200    4543576.00000000 15675.33886719
0.02300    4521078.00000000 21158.64648438
0.02400    4497682.50000000 21926.20312500
0.02500    4473414.50000000 24424.84375000
0.02600    4448287.00000000 25221.78710938
0.02700    4422352.50000000 24146.04492188
0.02800    4395614.50000000 21033.01562500
0.02900    4368069.00000000 23587.57421875
0.03000    4339724.00000000 22197.68945312
0.03100    4310656.50000000 28967.61328125
0.03200    4280820.50000000 23309.06835938
0.03300    4250220.50000000 23843.73632812
0.03400    4218963.00000000 22149.55664062
0.03500    4187028.00000000 22609.95117188
0.03600    4154399.25000000 25362.60937500
0.03700    4121134.75000000 25839.51562500
0.03800    4087215.25000000 28692.25195312
0.03900    4052706.25000000 29179.48632812
0.04000    4017601.50000000 39533.20312500
0.04100    3981930.75000000 30103.39648438
0.04200    3945713.50000000 25449.85351562
0.04300    3908988.00000000 25799.32226562
0.04400    3871744.25000000 31361.13085938
0.04500    3834036.25000000 34391.30468750
0.04600    3795849.00000000 40141.10546875
0.04700    3757239.75000000 35167.76562500
0.04800    3718220.50000000 32794.70703125
0.04900    3678792.50000000 27590.94531250
0.05000    3639003.75000000 41757.57031250
0.05100    3598869.00000000 50528.12500000
0.05200    3558380.50000000 28289.12500000
0.05300    3517619.25000000 28492.71679688
0.05400    3476565.25000000 31549.83007812
0.05500    3435237.75000000 40398.39843750
0.05600    3393671.75000000 31917.48437500
0.05700    3351890.00000000 34993.73437500
0.05800    3309907.50000000 43939.02343750
0.05900    3267745.50000000 35291.65234375
0.06000    3225438.00000000 35415.31250000
0.06100    3182994.25000000 44402.77343750
0.06200    3140445.25000000 47483.53515625
0.06300    3097790.75000000 29738.79101562
0.06400    3055074.00000000 29786.97265625
0.06500    3012300.25000000 38768.30859375
0.06600    2969488.25000000 32827.69140625
0.06700    2926675.00000000 35822.50390625
0.06800    2883863.75000000 38802.39062500
0.06900    2841074.50000000 53696.31250000
0.07000    2798318.50000000 32782.30078125
0.07100    2755638.75000000 32736.99023438
0.07200    2713042.25000000 29707.81445312
0.07300    2670521.25000000 38535.62500000
0.07400    2628139.00000000 47306.50390625
0.07500    2585897.00000000 47166.76171875
0.07600    2543786.50000000 38194.95703125
0.07700    2501847.75000000 49761.75781250
0.07800    2460085.00000000 32067.20898438
0.07900    2418518.00000000 31924.43945312
0.08000    2377168.75000000 31770.86328125
0.08100    2336037.25000000 43099.88671875
0.08200    2295164.25000000 34289.75390625
0.08300    2254517.25000000 53973.14453125
0.08400    2214153.00000000 33876.54296875
0.08500    2174064.75000000 28045.43554688
0.08600    2134277.00000000 38993.24218750
0.08700    2094779.62500000 30416.20117188
0.08800    2055602.25000000 27442.29296875
0.08900    2016764.12500000 32671.58007812
0.09000    1978255.00000000 40504.77343750
0.09100    1940092.75000000 26773.28125000
0.09200    1902295.25000000 31844.42578125
0.09300    1864869.37500000 31553.58984375
0.09400    1827812.75000000 31255.59960938
0.09500    1791146.25000000 38688.76171875
0.09600    1754867.62500000 35746.65234375
0.09700    1718992.25000000 32849.94140625
0.09800    1683524.00000000 25000.33203125
0.09900    1648473.00000000 39563.35546875
0.10000    1613842.75000000 26894.68945312
0.10100    1579637.00000000 36252.67187500
0.10200    1545856.50000000 42990.27343750
0.10300    1512517.87500000 33033.39453125
0.10400    1479622.25000000 25634.45507812
0.10500    1447175.87500000 27612.11718750
0.10600    1415176.75000000 36341.74218750
0.10700    1383625.37500000 35863.57421875
0.10800    1352532.62500000 26536.69140625
0.10900    1321901.12500000 28354.78125000
0.11000    1291733.25000000 27959.56835938
0.11100    1262022.87500000 21201.98632812
0.11200    1232781.87500000 25074.78320312
0.11300    1204004.87500000 22647.33203125
0.11400    1175691.62500000 26364.88671875
0.11500    1147845.00000000 21969.75390625
0.11600    1120467.25000000 23597.04101562
0.11700    1093564.25000000 21291.69726562
0.11800    1067118.62500000 20952.87500000
0.11900    1041143.62500000 20614.64453125
0.12000    1015624.50000000 22120.30273438
0.12100    990578.68750000 19940.34960938
0.12200    965989.87500000 24951.51953125
0.12300    941864.50000000 28029.88867188
0.12400    918191.06250000 22380.90820312
0.12500    894975.81250000 21989.55664062
0.12600    872218.25000000 23262.06054688
0.12700    849905.68750000 17950.00781250
0.12800    828037.93750000 19227.04101562
0.12900    806618.00000000 15729.05175781
0.13000    785641.81250000 20069.22070312
0.13100    765093.31250000 16663.73437500
0.13200    744982.43750000 19321.11914062
0.13300    725305.93750000 18952.24414062
0.13400    706044.12500000 14297.39355469
0.13500    687209.06250000 21028.59765625
0.13600    668788.43750000 20615.40429688
0.13700    650781.00000000 16165.40136719
0.13800    633173.37500000 13201.66601562
0.13900    615973.06250000 24577.32812500
0.14000    599170.25000000 15206.94140625
0.14100    582757.12500000 14895.27246094
0.14200    566729.25000000 19450.14843750
0.14300    551081.81250000 14284.04101562
0.14400    535811.37500000 12819.28808594
0.14500    520912.31250000 12548.77832031
0.14600    506380.71875000 17865.11328125
0.14700    492208.68750000 12019.73632812
0.14800    478386.15625000 17107.08984375
0.14900    464915.03125000 13598.76464844
0.15000    451783.15625000 12279.46679688
0.15100    438992.68750000 13011.74414062
0.15200    426534.62500000 11746.76464844
0.15300    414397.93750000 14358.88964844
0.15400    402580.81250000 14976.00781250
0.15500    391083.00000000 10066.47656250
0.15600    379887.68750000 10735.62597656
0.15700    368998.93750000 12243.38476562
0.15800    358404.50000000 8547.94726562
